index,longitude,latitude,speed,direction
160,-122.08818,37.37639,0.8,-32
161,-122.08813,37.37637,0.8,-13
162,-122.0881,37.37634,0.6,-28
163,-122.08807,37.3763,0.7,-35
164,-122.08806,37.37627,0.8,-18
165,-122.08805,37.37623,0.7,-26
166,-122.08804,37.37619,0.7,-39
167,-122.08803,37.37616,0.6,-38
168,-122.08803,37.37611,0.7,-24
169,-122.08803,37.37607,0.6,-37
170,-122.08802,37.37603,0.7,-30
171,-122.08802,37.37599,0.7,-33
172,-122.08802,37.37595,0.8,-20
173,-122.08802,37.37591,0.7,-30
174,-122.08802,37.37587,0.6,-38
175,-122.08801,37.37584,0.7,-31
176,-122.08801,37.3758,0.7,-26
177,-122.088,37.37577,0.7,-28
178,-122.088,37.37573,0.8,-19
179,-122.088,37.3757,0.8,-19
180,-122.08799,37.37566,0.7,-27
181,-122.08799,37.37562,0.6,-25
182,-122.08799,37.37557,0.8,-12
183,-122.08799,37.37551,0.7,-35
184,-122.08799,37.37547,0.7,-25
185,-122.08799,37.37544,0.7,-10
186,-122.08799,37.3754,0.6,-31
187,-122.08799,37.37535,0.7,-28
188,-122.08798,37.37532,0.8,-25
189,-122.08798,37.37526,0.6,-42
190,-122.08798,37.3752,0.7,-34
191,-122.08798,37.37516,0.7,-21
192,-122.08798,37.37512,0.7,-29
193,-122.08798,37.37508,0.7,-27
194,-122.08798,37.37504,0.7,-21
195,-122.08798,37.375,0.7,-9
196,-122.08798,37.37496,0.8,-29
197,-122.08798,37.37492,0.6,-53
198,-122.08798,37.37489,0.8,-31
199,-122.08798,37.37483,0.7,-24
200,-122.08797,37.37478,0.5,-50
201,-122.08797,37.37474,0.8,-34
202,-122.08797,37.37471,0.7,-33
203,-122.08798,37.37467,0.7,-21
204,-122.08798,37.37461,0.8,-16
205,-122.08799,37.37457,0.7,-25
206,-122.08799,37.37452,0.6,-43
207,-122.08799,37.3745,0.6,-49
208,-122.08799,37.37446,0.7,-22
209,-122.08799,37.37441,0.8,-20
210,-122.08799,37.37438,0.7,-21
211,-122.088,37.37432,0.7,-18
212,-122.08802,37.37426,0.8,23
213,-122.08804,37.37421,0.7,-28
214,-122.08811,37.37417,0.8,5
215,-122.08817,37.37415,0.8,-30
216,-122.08823,37.37415,0.9,-13
217,-122.08827,37.37414,0.8,-14
218,-122.08831,37.37414,0.8,-21
219,-122.08838,37.37414,0.9,-16
220,-122.08844,37.37414,0.8,-20
221,-122.08854,37.37413,0.9,-9
222,-122.08859,37.37413,0.9,-6
223,-122.08868,37.37412,0.8,-17
224,-122.08873,37.37412,0.6,-23
225,-122.08883,37.37412,0.8,-13
226,-122.08888,37.37412,0.7,-8
227,-122.08897,37.37412,0.7,-21
228,-122.08903,37.37412,0.8,-3
229,-122.0891,37.37412,0.9,-4
230,-122.08919,37.37413,0.9,7
231,-122.08923,37.37413,0.8,17
232,-122.08927,37.37414,0.8,33
233,-122.08931,37.37414,0.9,19
234,-122.08935,37.37414,0.8,11
235,-122.08938,37.37415,0.7,-2
236,-122.08947,37.37415,0.7,-24
237,-122.08948,37.37415,0.7,-24
238,-122.08948,37.37416,0.8,-11
239,-122.08949,37.37416,0.8,-11
240,-122.08949,37.37415,0.8,-12
241,-122.08949,37.37414,0.7,-28
242,-122.08949,37.37414,0.7,-11
243,-122.08947,37.37413,0.7,-20
244,-122.08944,37.37412,0.7,-16
245,-122.08944,37.37412,0.7,-8
246,-122.08944,37.37412,0.7,-27
247,-122.08945,37.37413,0.8,-23
248,-122.08945,37.37414,0.8,-27
249,-122.08945,37.37415,0.7,-26
