index,longitude,latitude,speed,direction
1,-122.08956,37.37427,1,45
2,-122.08949,37.37418,1,45
3,-122.0895,37.37418,1,45
4,-122.0895,37.37418,1,45
5,-122.08952,37.37418,1,45
6,-122.08955,37.37419,1,45
7,-122.08958,37.37419,1,45
8,-122.08962,37.3742,1,45
9,-122.08965,37.3742,1,45
10,-122.08968,37.3742,1,45
11,-122.08975,37.37419,1,45
12,-122.08982,37.37418,1,45
13,-122.08989,37.37416,1,45
14,-122.08993,37.37415,1,45
15,-122.08996,37.37415,1,45
16,-122.09,37.37415,1,45
17,-122.09003,37.37416,1,45
18,-122.09006,37.37416,1,45
19,-122.0901,37.37416,1,45
20,-122.09015,37.37416,1,45
21,-122.0902,37.37415,1,45
22,-122.09025,37.37415,1,45
23,-122.0903,37.37414,1,45
24,-122.09034,37.37414,1,45
25,-122.09038,37.37414,1,45
26,-122.09043,37.37414,1,45
27,-122.09047,37.37414,1,45
28,-122.09052,37.37414,1,45
29,-122.09056,37.37414,1,45
30,-122.09061,37.37414,1,45
31,-122.09066,37.37413,1,45
32,-122.09071,37.37413,1,45
33,-122.09076,37.37413,1,45
34,-122.0908,37.37413,1,45
35,-122.09084,37.37414,1,45
36,-122.09089,37.37414,1,45
37,-122.09094,37.37414,1,45
38,-122.09098,37.37414,1,45
39,-122.09103,37.37414,1,45
40,-122.09107,37.37415,1,45
41,-122.09111,37.37415,1,45
42,-122.09115,37.37416,1,45
43,-122.09118,37.37418,1,45
44,-122.09121,37.37421,1,45
45,-122.09123,37.37424,1,45
46,-122.09124,37.37428,1,45
47,-122.09124,37.37432,1,45
48,-122.09125,37.37436,1,45
49,-122.09124,37.3744,1,45
50,-122.09124,37.37444,1,45
51,-122.09124,37.37448,1,45
52,-122.09124,37.37451,1,45
53,-122.09124,37.37454,1,45
54,-122.09124,37.37457,1,45
55,-122.09125,37.37461,1,45
56,-122.09125,37.37465,1,45
57,-122.09125,37.37469,1,45
58,-122.09125,37.37473,1,45
59,-122.09125,37.37477,1,45
60,-122.09125,37.37481,1,45
61,-122.09125,37.37484,1,45
62,-122.09126,37.37488,1,45
63,-122.09126,37.37492,1,45
64,-122.09126,37.37496,1,45
65,-122.09127,37.37499,1,45
66,-122.09127,37.37503,1,45
67,-122.09127,37.37507,1,45
68,-122.09127,37.37511,1,45
69,-122.09126,37.37515,1,45
70,-122.09126,37.37519,1,45
71,-122.09126,37.37522,1,45
72,-122.09127,37.37526,1,45
73,-122.09127,37.3753,1,45
74,-122.09126,37.37534,1,45
75,-122.09126,37.37538,1,45
76,-122.09125,37.37542,1,45
77,-122.09125,37.37546,1,45
78,-122.09124,37.3755,1,45
79,-122.09124,37.37554,1,45
80,-122.09123,37.37557,1,45
81,-122.09123,37.37561,1,45
82,-122.09123,37.37564,1,45
83,-122.09123,37.37568,1,45
84,-122.09124,37.37572,1,45
85,-122.09124,37.37575,1,45
86,-122.09124,37.37579,1,45
87,-122.09124,37.37582,1,45
88,-122.09123,37.37585,1,45
89,-122.09123,37.37588,1,45
90,-122.09122,37.37592,1,45
91,-122.09122,37.37595,1,45
92,-122.09122,37.376,1,45
93,-122.09122,37.37604,1,45
94,-122.09123,37.37608,1,45
95,-122.09122,37.37612,1,45
96,-122.09122,37.37616,1,45
97,-122.09123,37.37619,1,45
98,-122.09122,37.37623,1,45
99,-122.09121,37.37629,1,45
100,-122.09119,37.37632,1,45
101,-122.09116,37.37636,1,45
102,-122.09113,37.37638,1,45
103,-122.09109,37.37639,1,45
104,-122.09102,37.37641,1,45
